app_id,title,section_id,section_text,generated_answer,nli_score,nli_raw
718670,Cultist Simulator,krauss_3_beispiel_rossmann,"Example: Karl Rossmann flees from a policeman. Although the scene appears clearly described, contradictory details – like his 'too high, time-consuming, and useless jumps' – leave room for interpretation.","Does this game contain elements of the following concept? Answer in 1-2 sentences with your reasoning.

Concept: Example: The game is set in a world where the sun is a living entity, and the player must navigate through a series of increasingly difficult challenges to reach the sun's heart.

Game: The Sun: I dedicated myself to the study of the",0.04,"[{'label': 'neutral', 'score': 0.988454282283783}, {'label': 'contradiction', 'score': 0.011136584915220737}, {'label': 'entailment', 'score': 0.00040919851744547486}]"
718670,Cultist Simulator,krauss_4_schluss,Interpretative openness arises not only from the text itself but also from the textual base or the mental model that forms in the reader's mind – shaped by individual schemas and context.,"Does this game contain elements of the following concept? Answer in 1-2 sentences with your reasoning.

Concept: Interpretative openness arises not only from the text itself but also from the textual base or the mental model that forms in the reader's mind – shaped by individual schemas and context.

Game: Mirror of Glory: I dedicated",94.35,"[{'label': 'entailment', 'score': 0.9435408115386963}, {'label': 'neutral', 'score': 0.047602176666259766}, {'label': 'contradiction', 'score': 0.0088570611551404}]"
2115760,Oppidum,krauss_1_definition,Walter Benjamin spoke of 'cloudy spots' in Kafka's texts – indeterminate passages that encourage the reader to actively make connections between the elements of a narrative.,"Does this game contain elements of the following concept? Answer in 1-2 sentences with your reasoning.

Concept: Walter Benjamin spoke of 'cloudy spots' in Kafka's texts – indeterminate passages that encourage the reader to actively make connections between the elements of a narrative.

Game: Well Fed: Fill your energy to the",76.6,"[{'label': 'entailment', 'score': 0.7659894824028015}, {'label': 'neutral', 'score': 0.2043868601322174}, {'label': 'contradiction', 'score': 0.029623663052916527}]"
2115760,Oppidum,krauss_2_kontrast,Not only cloudy spots prompt the reader to interpret actively. Even seemingly clear passages trigger top-down effects that prevent reading from being a purely passive process.,"1. The fate of a marvelous world depends on you. Will you live up to the challenge?
2. Explore the land of Insule, discover every resource it has to offer and collect it to craft your equipment in classic survival-crafting fashion.
3. Everything you do in Oppidum will help you achieve your ultimate goal
4",1.95,"[{'label': 'neutral', 'score': 0.8764836192131042}, {'label': 'contradiction', 'score': 0.10404133796691895}, {'label': 'entailment', 'score': 0.01947510801255703}]"
2115760,Oppidum,krauss_3_beispiel_rossmann,"Example: Karl Rossmann flees from a policeman. Although the scene appears clearly described, contradictory details – like his 'too high, time-consuming, and useless jumps' – leave room for interpretation.","1. The game contains elements of the following concept: Example: Karl Rossmann flees from a policeman. Although the scene appears clearly described, contradictory details – like his 'too high, time-consuming, and useless jumps' – leave room for interpretation.

Game: Well Fed: Fill your energy to the fullest | Road to battle: De",98.56,"[{'label': 'entailment', 'score': 0.985600471496582}, {'label': 'neutral', 'score': 0.011699071153998375}, {'label': 'contradiction', 'score': 0.0027004689909517765}]"
2115760,Oppidum,krauss_4_schluss,Interpretative openness arises not only from the text itself but also from the textual base or the mental model that forms in the reader's mind – shaped by individual schemas and context.,"Does this game contain elements of the following concept? Answer in 1-2 sentences with your reasoning.

Concept: Interpretative openness arises not only from the text itself but also from the textual base or the mental model that forms in the reader's mind – shaped by individual schemas and context.",96.45,"[{'label': 'entailment', 'score': 0.9645329713821411}, {'label': 'neutral', 'score': 0.031111400574445724}, {'label': 'contradiction', 'score': 0.004355632234364748}]"
1658280,Eiyuden Chronicle: Hundred Heroes,krauss_1_definition,Walter Benjamin spoke of 'cloudy spots' in Kafka's texts – indeterminate passages that encourage the reader to actively make connections between the elements of a narrative.,"Does this game contain elements of the following concept? Answer in 1-2 sentences with your reasoning.

Concept: The game is set in a world where humans, beastmen, elves, and desert people live together in a tapestry of nations.

Game: Eiyuden Chronicle: Hundred Heroes | The Primal Lens | A Day in",0.13,"[{'label': 'neutral', 'score': 0.9894270896911621}, {'label': 'contradiction', 'score': 0.00922610703855753}, {'label': 'entailment', 'score': 0.0013468535616993904}]"
1658280,Eiyuden Chronicle: Hundred Heroes,krauss_2_kontrast,Not only cloudy spots prompt the reader to interpret actively. Even seemingly clear passages trigger top-down effects that prevent reading from being a purely passive process.,"Does this game contain elements of the following concept? Answer in 1-2 sentences with your reasoning.

Concept: Not only cloudy spots prompt the reader to interpret actively. Even seemingly clear passages trigger top-down effects that prevent reading from being a purely passive process.

Game: Bond of Heroes: Attacked an enemy with a hero com",79.81,"[{'label': 'entailment', 'score': 0.7981076836585999}, {'label': 'neutral', 'score': 0.17744332551956177}, {'label': 'contradiction', 'score': 0.024449018761515617}]"
1658280,Eiyuden Chronicle: Hundred Heroes,krauss_3_beispiel_rossmann,"Example: Karl Rossmann flees from a policeman. Although the scene appears clearly described, contradictory details – like his 'too high, time-consuming, and useless jumps' – leave room for interpretation.","Does this game contain elements of the following concept? Answer in 1-2 sentences with your reasoning.

Concept: Example: The game is set in a world where the player controls a group of heroes as they fight against an evil organization. | The Primal Lens | A Day in the Life of the Watch | I Love Animals!: Talked to animals",0.03,"[{'label': 'neutral', 'score': 0.9948922395706177}, {'label': 'contradiction', 'score': 0.004838030785322189}, {'label': 'entailment', 'score': 0.0002697254822123796}]"
1658280,Eiyuden Chronicle: Hundred Heroes,krauss_4_schluss,Interpretative openness arises not only from the text itself but also from the textual base or the mental model that forms in the reader's mind – shaped by individual schemas and context.,"Does this game contain elements of the following concept? Answer in 1-2 sentences with your reasoning.

Concept: Interpretative openness arises not only from the text itself but also from the textual base or the mental model that forms in the reader's mind – shaped by individual schemas and context.",96.45,"[{'label': 'entailment', 'score': 0.9645329713821411}, {'label': 'neutral', 'score': 0.031111400574445724}, {'label': 'contradiction', 'score': 0.004355632234364748}]"
832500,3 Minutes to Midnight® - A Comedy Graphic Adventure,krauss_1_definition,Walter Benjamin spoke of 'cloudy spots' in Kafka's texts – indeterminate passages that encourage the reader to actively make connections between the elements of a narrative.,"The game is a classic adventure game with a twist. The player takes on the role of Betty Anderson, a town resident who discovers that she has a power to manipulate time. The game begins with a power outage, and the player is left with no memory of the past few days. The player must navigate through the town, solving puzzles and interacting with characters to",0.07,"[{'label': 'neutral', 'score': 0.9782440662384033}, {'label': 'contradiction', 'score': 0.021061336621642113}, {'label': 'entailment', 'score': 0.0006946277571842074}]"
832500,3 Minutes to Midnight® - A Comedy Graphic Adventure,krauss_2_kontrast,Not only cloudy spots prompt the reader to interpret actively. Even seemingly clear passages trigger top-down effects that prevent reading from being a purely passive process.,"Does this game contain elements of the following concept? Answer in 1-2 sentences with your reasoning.

Concept: Not only cloudy spots prompt the reader to interpret actively. Even seemingly clear passages trigger top-down effects that prevent reading from being a purely passive process.",57.26,"[{'label': 'entailment', 'score': 0.5726278424263}, {'label': 'neutral', 'score': 0.38954663276672363}, {'label': 'contradiction', 'score': 0.037825487554073334}]"
832500,3 Minutes to Midnight® - A Comedy Graphic Adventure,krauss_3_beispiel_rossmann,"Example: Karl Rossmann flees from a policeman. Although the scene appears clearly described, contradictory details – like his 'too high, time-consuming, and useless jumps' – leave room for interpretation.","Does this game contain elements of the following concept? Answer in 1-2 sentences with your reasoning.

Concept: Example: The game is set in a world where time travel is possible. The player must navigate through different eras and time periods to solve puzzles and complete objectives.

Game: Chapter One: Begin Chapter One. | Tool Time: Recover Linda",0.04,"[{'label': 'neutral', 'score': 0.99457848072052}, {'label': 'contradiction', 'score': 0.00500577362254262}, {'label': 'entailment', 'score': 0.0004157910298090428}]"
832500,3 Minutes to Midnight® - A Comedy Graphic Adventure,krauss_4_schluss,Interpretative openness arises not only from the text itself but also from the textual base or the mental model that forms in the reader's mind – shaped by individual schemas and context.,"Does this game contain elements of the following concept? Answer in 1-2 sentences with your reasoning.

Concept: Interpretative openness arises not only from the text itself but also from the textual base or the mental model that forms in the reader's mind – shaped by individual schemas and context.",96.45,"[{'label': 'entailment', 'score': 0.9645329713821411}, {'label': 'neutral', 'score': 0.031111400574445724}, {'label': 'contradiction', 'score': 0.004355632234364748}]"
373420,Divinity: Original Sin - Enhanced Edition,krauss_1_definition,Walter Benjamin spoke of 'cloudy spots' in Kafka's texts – indeterminate passages that encourage the reader to actively make connections between the elements of a narrative.,"This game is a tactical RPG that allows players to explore an open world and interact with everything and everyone they see. The game features a revamped story, new game modes, new story content, new enemies, better loot, and better balancing. The game also features new game modes for extra replay, explorer mode, classic mode, tactician mode, and honor mode",0.03,"[{'label': 'neutral', 'score': 0.9987215399742126}, {'label': 'contradiction', 'score': 0.0009420443675480783}, {'label': 'entailment', 'score': 0.0003364380681887269}]"
373420,Divinity: Original Sin - Enhanced Edition,krauss_2_kontrast,Not only cloudy spots prompt the reader to interpret actively. Even seemingly clear passages trigger top-down effects that prevent reading from being a purely passive process.,"This game is a tactical RPG that allows players to explore an open world and interact with everything and everyone they see. The game features a revamped story, new game modes, new story content, new enemies, better loot, and better balancing. The game also features new game modes for extra replay, explorer mode, classic mode, tactician mode, and honor mode",0.1,"[{'label': 'neutral', 'score': 0.9963626265525818}, {'label': 'contradiction', 'score': 0.002615814097225666}, {'label': 'entailment', 'score': 0.0010215446818619967}]"
373420,Divinity: Original Sin - Enhanced Edition,krauss_3_beispiel_rossmann,"Example: Karl Rossmann flees from a policeman. Although the scene appears clearly described, contradictory details – like his 'too high, time-consuming, and useless jumps' – leave room for interpretation.","Does this game contain elements of the following concept? Answer in 1-2 sentences with your reasoning.

Concept: Example: The game is set in a world where magic is forbidden. The player must navigate through a complex and dangerous world, gathering information and fighting off enemies to uncover the truth behind the ban on magic.",0.02,"[{'label': 'neutral', 'score': 0.9976143836975098}, {'label': 'contradiction', 'score': 0.002219905611127615}, {'label': 'entailment', 'score': 0.0001656772947171703}]"
373420,Divinity: Original Sin - Enhanced Edition,krauss_4_schluss,Interpretative openness arises not only from the text itself but also from the textual base or the mental model that forms in the reader's mind – shaped by individual schemas and context.,"This game is a great example of how to create a game that is both fun and challenging. The gameplay is engaging and the story is well-developed, making it a great choice for fans of RPGs. The game's revamped mechanics and new content make it even more exciting to play. The game's exploration and combat mechanics are well",2.32,"[{'label': 'neutral', 'score': 0.9754847288131714}, {'label': 'entailment', 'score': 0.023198680952191353}, {'label': 'contradiction', 'score': 0.0013165513519197702}]"
1735700,Back to the Dawn,krauss_1_definition,Walter Benjamin spoke of 'cloudy spots' in Kafka's texts – indeterminate passages that encourage the reader to actively make connections between the elements of a narrative.,The game contains elements of the following concept: The game contains elements of the following concept: The game contains elements of the following concept: The game contains elements of the following concept: The game contains elements of the following concept: The game contains elements of the following concept: The game contains elements of the following concept: The game contains elements of the following concept: The game contains elements of the following concept,19.68,"[{'label': 'neutral', 'score': 0.714724600315094}, {'label': 'entailment', 'score': 0.19682523608207703}, {'label': 'contradiction', 'score': 0.08845022320747375}]"
1735700,Back to the Dawn,krauss_2_kontrast,Not only cloudy spots prompt the reader to interpret actively. Even seemingly clear passages trigger top-down effects that prevent reading from being a purely passive process.,The game contains elements of the following concept: Not only cloudy spots prompt the reader to interpret actively. Even seemingly clear passages trigger top-down effects that prevent reading from being a purely passive process.,99.47,"[{'label': 'entailment', 'score': 0.994743824005127}, {'label': 'neutral', 'score': 0.0037971839774399996}, {'label': 'contradiction', 'score': 0.0014590108767151833}]"
1735700,Back to the Dawn,krauss_3_beispiel_rossmann,"Example: Karl Rossmann flees from a policeman. Although the scene appears clearly described, contradictory details – like his 'too high, time-consuming, and useless jumps' – leave room for interpretation.","Does this game contain elements of the following concept? Answer in 1-2 sentences with your reasoning.

Concept: Example: The game is set in a world where the sun rises and sets at different times.

Game: The Sun Rises at 6:00 AM | The Sun Sets at 10:00 PM | The Sun Rises at",0.03,"[{'label': 'neutral', 'score': 0.9949330687522888}, {'label': 'contradiction', 'score': 0.004737982526421547}, {'label': 'entailment', 'score': 0.00032892602030187845}]"
1735700,Back to the Dawn,krauss_4_schluss,Interpretative openness arises not only from the text itself but also from the textual base or the mental model that forms in the reader's mind – shaped by individual schemas and context.,"The game contains the concept of ""interpretative openness"" in its textual base or mental model. The game's textual base includes elements such as the text itself, the textual base, and mental models shaped by individual schemas and context. The game's mental model includes elements such as the textual base, the textual base, and the mental model shaped",97.33,"[{'label': 'entailment', 'score': 0.9733089208602905}, {'label': 'neutral', 'score': 0.02344973012804985}, {'label': 'contradiction', 'score': 0.003241324331611395}]"
1684350,The Thaumaturge,krauss_1_definition,Walter Benjamin spoke of 'cloudy spots' in Kafka's texts – indeterminate passages that encourage the reader to actively make connections between the elements of a narrative.,"Does this game contain elements of the following concept? Answer in 1-2 sentences with your reasoning.

Concept: The game is set in a world where the protagonist is a thaumaturge, a master of mystical arts, and must solve various detective investigations while taming mythical creatures.",0.12,"[{'label': 'neutral', 'score': 0.9878190755844116}, {'label': 'contradiction', 'score': 0.01100167166441679}, {'label': 'entailment', 'score': 0.0011792461154982448}]"
1684350,The Thaumaturge,krauss_2_kontrast,Not only cloudy spots prompt the reader to interpret actively. Even seemingly clear passages trigger top-down effects that prevent reading from being a purely passive process.,"The game contains elements of the following concept: Not only cloudy spots prompt the reader to interpret actively. Even seemingly clear passages trigger top-down effects that prevent reading from being a purely passive process.

Game: Back to Life | Fast and Nervous: Win a skirmish in 6 rounds or less. | Beast of Transcaucas",98.34,"[{'label': 'entailment', 'score': 0.9834416508674622}, {'label': 'contradiction', 'score': 0.00979677215218544}, {'label': 'neutral', 'score': 0.006761561613529921}]"
1684350,The Thaumaturge,krauss_3_beispiel_rossmann,"Example: Karl Rossmann flees from a policeman. Although the scene appears clearly described, contradictory details – like his 'too high, time-consuming, and useless jumps' – leave room for interpretation.","Does this game contain elements of the following concept? Answer in 1-2 sentences with your reasoning.

Concept: Example: The game is set in a post-apocalyptic world where the survivors have to fight for their lives.

Game: The Last of Us | The Last of Us Part II | The Last of Us Remastered | The Last of",0.03,"[{'label': 'neutral', 'score': 0.9956163167953491}, {'label': 'contradiction', 'score': 0.004035469610244036}, {'label': 'entailment', 'score': 0.0003482660686131567}]"
1684350,The Thaumaturge,krauss_4_schluss,Interpretative openness arises not only from the text itself but also from the textual base or the mental model that forms in the reader's mind – shaped by individual schemas and context.,"Does this game contain elements of the following concept? Answer in 1-2 sentences with your reasoning.

Concept: Interpretative openness arises not only from the text itself but also from the textual base or the mental model that forms in the reader's mind – shaped by individual schemas and context.

Game: Back to Life | Fast and Nerv",95.43,"[{'label': 'entailment', 'score': 0.9542957544326782}, {'label': 'neutral', 'score': 0.038071852177381516}, {'label': 'contradiction', 'score': 0.007632420863956213}]"
1207650,Suzerain,krauss_1_definition,Walter Benjamin spoke of 'cloudy spots' in Kafka's texts – indeterminate passages that encourage the reader to actively make connections between the elements of a narrative.,"Does this game contain elements of the following concept? Answer in 1-2 sentences with your reasoning.

Concept: The game is set in a dystopian world where the government controls everything, including the media. The player must navigate through the complex web of government agencies and media outlets to uncover the truth and overthrow the corrupt regime.",0.08,"[{'label': 'neutral', 'score': 0.9971676468849182}, {'label': 'contradiction', 'score': 0.0020532854832708836}, {'label': 'entailment', 'score': 0.0007791129755787551}]"
1207650,Suzerain,krauss_2_kontrast,Not only cloudy spots prompt the reader to interpret actively. Even seemingly clear passages trigger top-down effects that prevent reading from being a purely passive process.,The game contains elements of the following concept: Not only cloudy spots prompt the reader to interpret actively. Even seemingly clear passages trigger top-down effects that prevent reading from being a purely passive process.,99.47,"[{'label': 'entailment', 'score': 0.994743824005127}, {'label': 'neutral', 'score': 0.0037971839774399996}, {'label': 'contradiction', 'score': 0.0014590108767151833}]"
1207650,Suzerain,krauss_3_beispiel_rossmann,"Example: Karl Rossmann flees from a policeman. Although the scene appears clearly described, contradictory details – like his 'too high, time-consuming, and useless jumps' – leave room for interpretation.",The game contains elements of the following concept: The game contains elements of the following concept: The game contains elements of the following concept: The game contains elements of the following concept: The game contains elements of the following concept: The game contains elements of the following concept: The game contains elements of the following concept: The game contains elements of the following concept: The game contains elements of the following concept,0.06,"[{'label': 'neutral', 'score': 0.9960588216781616}, {'label': 'contradiction', 'score': 0.0033260637428611517}, {'label': 'entailment', 'score': 0.0006151366978883743}]"
1207650,Suzerain,krauss_4_schluss,Interpretative openness arises not only from the text itself but also from the textual base or the mental model that forms in the reader's mind – shaped by individual schemas and context.,"The game contains elements of the concept of ""interpretative openness"" in the text. The game's protagonist, a character who is not explicitly named, is a member of the Sordish government and is tasked with interpreting the text's elements. The game's protagonist is not explicitly named, but the game's setting and context are described in the game",64.03,"[{'label': 'entailment', 'score': 0.6403173804283142}, {'label': 'neutral', 'score': 0.33836328983306885}, {'label': 'contradiction', 'score': 0.021319320425391197}]"
809880,Degrees of Separation,krauss_1_definition,Walter Benjamin spoke of 'cloudy spots' in Kafka's texts – indeterminate passages that encourage the reader to actively make connections between the elements of a narrative.,"Does this game have a unique storytelling style that incorporates dual protagonists? Answer in 1-2 sentences with your reasoning.

Concept: The game's story is told through a complex narrative that involves dual protagonists, Ember and Rime, who must work together to solve environmental puzzles and progress through the game's worlds.

Game:",1.0,"[{'label': 'neutral', 'score': 0.9673902988433838}, {'label': 'contradiction', 'score': 0.02256057597696781}, {'label': 'entailment', 'score': 0.010049103759229183}]"
809880,Degrees of Separation,krauss_2_kontrast,Not only cloudy spots prompt the reader to interpret actively. Even seemingly clear passages trigger top-down effects that prevent reading from being a purely passive process.,"Does this game contain elements of the following concept? Answer in 1-2 sentences with your reasoning.

Concept: The game's environmental puzzles require players to use their respective powers to progress through a spectacular world of fantasy and adventure.",0.19,"[{'label': 'neutral', 'score': 0.9891947507858276}, {'label': 'contradiction', 'score': 0.008901050314307213}, {'label': 'entailment', 'score': 0.0019042214844375849}]"
809880,Degrees of Separation,krauss_3_beispiel_rossmann,"Example: Karl Rossmann flees from a policeman. Although the scene appears clearly described, contradictory details – like his 'too high, time-consuming, and useless jumps' – leave room for interpretation.","Does this game contain elements of the following concept? Answer in 1-2 sentences with your reasoning.

Concept: Example: The game is set in a world where the temperature changes drastically between day and night. The player must navigate through the world by manipulating the temperature to progress through the game. Game: The Legend of Zelda: Breath of the Wild |",0.04,"[{'label': 'neutral', 'score': 0.9937942028045654}, {'label': 'contradiction', 'score': 0.005772303324192762}, {'label': 'entailment', 'score': 0.0004335216071922332}]"
809880,Degrees of Separation,krauss_4_schluss,Interpretative openness arises not only from the text itself but also from the textual base or the mental model that forms in the reader's mind – shaped by individual schemas and context.,"Does this game contain elements of the following concept? Answer in 1-2 sentences with your reasoning.

Concept: Interpretative openness arises not only from the text itself but also from the textual base or the mental model that forms in the reader's mind – shaped by individual schemas and context.

Game: Leap of Faith: Jump",82.37,"[{'label': 'entailment', 'score': 0.8237355351448059}, {'label': 'neutral', 'score': 0.1470925658941269}, {'label': 'contradiction', 'score': 0.02917192317545414}]"
3364880,Moral Dilemma: The Interview,krauss_1_definition,Walter Benjamin spoke of 'cloudy spots' in Kafka's texts – indeterminate passages that encourage the reader to actively make connections between the elements of a narrative.,The game contains elements of the following concept: The narrator is your friend.,4.65,"[{'label': 'neutral', 'score': 0.8506090641021729}, {'label': 'contradiction', 'score': 0.1029292419552803}, {'label': 'entailment', 'score': 0.04646163061261177}]"
3364880,Moral Dilemma: The Interview,krauss_2_kontrast,Not only cloudy spots prompt the reader to interpret actively. Even seemingly clear passages trigger top-down effects that prevent reading from being a purely passive process.,"Game: First Achievement: Got your first achievement.

Game: Started the Game: Started the game.

The End? Or Just the Beginning?: Completed the game.

Immersion Ruined: Wander off during the flashback.

Level 1: Conquered level 1 of Dr. Chair's game",8.5,"[{'label': 'contradiction', 'score': 0.5988344550132751}, {'label': 'neutral', 'score': 0.31615588068962097}, {'label': 'entailment', 'score': 0.08500966429710388}]"
3364880,Moral Dilemma: The Interview,krauss_3_beispiel_rossmann,"Example: Karl Rossmann flees from a policeman. Although the scene appears clearly described, contradictory details – like his 'too high, time-consuming, and useless jumps' – leave room for interpretation.","Title: The Moral Dilemma Judge

Game: The Moral Dilemma Judge

Concept: Example: The protagonist is a judge who must decide between two moral dilemmas.

Game: First Achievement: Got your first achievement.

Game: Started the Game: Started the game.

Game",0.04,"[{'label': 'neutral', 'score': 0.9931690692901611}, {'label': 'contradiction', 'score': 0.00641127722337842}, {'label': 'entailment', 'score': 0.0004196378285996616}]"
3364880,Moral Dilemma: The Interview,krauss_4_schluss,Interpretative openness arises not only from the text itself but also from the textual base or the mental model that forms in the reader's mind – shaped by individual schemas and context.,"Game: First Achievement: Got your first achievement.

Game: Started the Game: Started the game.

The End? Or Just the Beginning?: Completed the game.

Immersion Ruined: Wander off during the flashback.

Level 1: Conquered level 1 of Dr. Chair's game",23.74,"[{'label': 'contradiction', 'score': 0.6787765026092529}, {'label': 'entailment', 'score': 0.23736165463924408}, {'label': 'neutral', 'score': 0.0838618203997612}]"
2289630,Shambles: Sons of Apocalypse,krauss_1_definition,Walter Benjamin spoke of 'cloudy spots' in Kafka's texts – indeterminate passages that encourage the reader to actively make connections between the elements of a narrative.,"The game contains elements of the following concept: ""Walter Benjamin spoke of 'cloudy spots' in Kafka's texts – indeterminate passages that encourage the reader to actively make connections between the elements of a narrative.""",99.5,"[{'label': 'entailment', 'score': 0.9950495362281799}, {'label': 'neutral', 'score': 0.004054071381688118}, {'label': 'contradiction', 'score': 0.0008963537402451038}]"
2289630,Shambles: Sons of Apocalypse,krauss_2_kontrast,Not only cloudy spots prompt the reader to interpret actively. Even seemingly clear passages trigger top-down effects that prevent reading from being a purely passive process.,"Does this game contain elements of the following concept? Answer in 1-2 sentences with your reasoning.

Concept: Not only cloudy spots prompt the reader to interpret actively. Even seemingly clear passages trigger top-down effects that prevent reading from being a purely passive process.",57.26,"[{'label': 'entailment', 'score': 0.5726278424263}, {'label': 'neutral', 'score': 0.38954663276672363}, {'label': 'contradiction', 'score': 0.037825487554073334}]"
2289630,Shambles: Sons of Apocalypse,krauss_3_beispiel_rossmann,"Example: Karl Rossmann flees from a policeman. Although the scene appears clearly described, contradictory details – like his 'too high, time-consuming, and useless jumps' – leave room for interpretation.","The game contains elements of the following concept: ""Example: Karl Rossmann flees from a policeman.""",0.02,"[{'label': 'neutral', 'score': 0.9991312623023987}, {'label': 'contradiction', 'score': 0.0006631069700233638}, {'label': 'entailment', 'score': 0.00020560770644806325}]"
